"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.158426923E0,3.950000107E-1,2.838000059E0,7.504000187E0,8.032452188E0
1.163459154E0,8.019999862E-1,3.055000067E0,7.235000134E0,7.894393980E0
1.168421615E0,1.185999990E0,3.322999954E0,7.105000019E0,7.932839967E0
1.173399539E0,1.481999993E0,3.572000027E0,7.111999989E0,8.095434022E0
1.178429154E0,1.641000032E0,3.730999947E0,7.261000156E0,8.326785993E0
1.183394539E0,1.659999967E0,3.766000032E0,7.573999882E0,8.619966957E0
1.188557231E0,1.549999952E0,3.674999952E0,8.062999725E0,8.995559409E0
1.194996846E0,1.299999952E0,3.421000004E0,9.154000282E0,9.858446230E0
1.198384462E0,1.226999998E0,3.342999935E0,9.607999802E0,1.024669887E1
1.203453923E0,1.078999996E0,3.197000027E0,1.055399990E1,1.108025108E1
1.208399308E0,8.909999728E-1,3.039000034E0,1.141899967E1,1.185001923E1
1.213403615E0,6.389999986E-1,2.834000111E0,1.209099960E1,1.243511757E1
1.218431154E0,3.179999888E-1,2.581000090E0,1.252299976E1,1.279016061E1
1.223398308E0,-3.500000015E-2,2.339999914E0,1.272599983E1,1.293939320E1
1.228790385E0,-3.170000017E-1,2.174000025E0,1.272299957E1,1.291129286E1
1.233406385E0,-4.760000110E-1,2.088999987E0,1.253400040E1,1.271580367E1
1.238671385E0,-5.509999990E-1,2.061000109E0,1.222399998E1,1.240876698E1
1.243409846E0,-5.920000076E-1,2.049999952E0,1.188199997E1,1.207207054E1
1.248428615E0,-6.359999776E-1,2.019999981E0,1.160599995E1,1.179763242E1
1.253435692E0,-7.080000043E-1,1.937999964E0,1.147399998E1,1.165803514E1
1.258403923E0,-8.270000219E-1,1.799999952E0,1.152999973E1,1.169892400E1
1.263416923E0,-8.989999890E-1,1.715999961E0,1.161699963E1,1.177741640E1
1.268401769E0,-1.060999990E0,1.519999981E0,1.185000038E1,1.199410814E1
1.273417539E0,-1.241000056E0,1.312000036E0,1.215499973E1,1.228842723E1
1.278410154E0,-1.402999997E0,1.131000042E0,1.251299953E1,1.264210139E1
1.283588692E0,-1.524999976E0,9.869999886E-1,1.285900021E1,1.298667318E1
1.288392231E0,-1.600000024E0,8.550000191E-1,1.313599968E1,1.326067542E1
1.293456154E0,-1.608000040E0,7.509999871E-1,1.328899956E1,1.340698230E1
1.299013000E0,-1.460000038E0,7.480000257E-1,1.320300007E1,1.330452235E1
1.303466000E0,-1.376999974E0,7.900000215E-1,1.307499981E1,1.317102308E1
1.308926308E0,-1.202999949E0,9.060000181E-1,1.266499996E1,1.275422553E1
